,eval_metric,val,metrics,eta,num_round,seed,max_depth,gamma,avg_score,score_std
0,auc,False,auc,0.001,1200.0,100.0,3.0,0.0,0.140777108105,0.0182774429711
1,auc,False,auc,0.001,1200.0,100.0,4.0,0.0,0.114664897528,0.0078347676057
2,auc,False,auc,0.001,1200.0,100.0,5.0,0.0,0.130778104013,0.0230608587947
3,auc,False,auc,0.001,1200.0,100.0,6.0,0.0,0.12249972095,5.58160293956e-08
4,auc,False,auc,0.001,1200.0,100.0,7.0,0.0,0.146004192212,0.00783487824105
5,auc,False,auc,0.001,2400.0,100.0,3.0,0.0,0.130334545368,0.00783476860242
6,auc,False,auc,0.001,2400.0,100.0,4.0,0.0,0.106830074106,0.0156695910274
7,auc,False,auc,0.001,2400.0,100.0,5.0,0.0,0.0989952506846,0.0235044144492
