,early_stopping_ratio,colsample_bytree,val,eval_metric,metrics,subsample,eta,num_round,seed,max_depth,gamma,avg_score,score_std,time_cost
0,0.2,0.8,False,auc,auc,0.8,0.0035,7500.0,100.0,5.0,0.0,0.122638150406,0.0228297069449,1389.50751185
1,0.2,0.8,False,auc,auc,0.8,0.0075,2000.0,100.0,5.0,0.0,0.115048460447,0.0516188661264,376.091734171
2,0.2,0.8,False,auc,auc,0.8,0.0015,5500.0,100.0,5.0,0.0,0.138002101771,0.0323358232154,1012.0117619
3,0.2,0.8,False,auc,auc,0.8,0.002,2000.0,100.0,5.0,0.0,0.122269007512,0.0282843301899,358.668456078
4,0.2,0.8,False,auc,auc,0.8,0.0015,5500.0,100.0,5.0,0.0,0.138002101771,0.0323358232154,1004.74283504
5,0.2,0.8,False,auc,auc,0.8,0.0035,9000.0,100.0,5.0,0.0,0.0758080105215,0.0303547425385,1736.68160105
6,0.2,0.8,False,auc,auc,0.8,0.0035,6000.0,100.0,5.0,0.0,0.0989462232931,0.0289046614611,1184.15211582
7,0.2,0.8,False,auc,auc,0.8,0.004,2500.0,100.0,5.0,0.0,0.130596983259,0.0305178928156,477.538625002
8,0.2,0.8,False,auc,auc,0.8,0.0095,7000.0,100.0,5.0,0.0,0.0830285575864,0.0392593340651,1283.81118798
9,0.2,0.8,False,auc,auc,0.8,0.0045,8000.0,100.0,5.0,0.0,0.0754388676273,0.0106106651636,1625.42003107
10,0.2,0.8,False,auc,auc,0.8,0.002,5000.0,100.0,5.0,0.0,0.130412411812,0.0294323862719,918.413792133
11,0.2,0.8,False,auc,auc,0.8,0.005,8500.0,100.0,5.0,0.0,0.107089627594,0.0303143590016,1553.54446101
12,0.2,0.8,False,auc,auc,0.8,0.004,7000.0,100.0,5.0,0.0,0.131281675388,0.0248158781182,4425.293607
13,0.2,0.8,False,auc,auc,0.8,0.0025,2500.0,100.0,5.0,0.0,0.115048460447,0.0516188661264,1970.56251812
14,0.2,0.8,False,auc,auc,0.8,0.002,9500.0,100.0,5.0,0.0,0.0989462232931,0.0104980840743,7422.70812798
15,0.2,0.8,False,auc,auc,0.8,0.0075,7500.0,100.0,5.0,0.0,0.114494746106,0.0324589782531,5446.47035384
16,0.2,0.8,False,auc,auc,0.8,0.008,5500.0,100.0,5.0,0.0,0.114310174658,0.0321688461421,4067.12999201
